Timestamp,What is your primary professional / academic role?,Which web browser do you use as your primary tool?,"On average, how many hours per day do you spend in web browsers?","I think that I would like to use Tab Time frequently. (1 = Strongly Disagree, 5 = Strongly Agree)",I found the extension unnecessarily complex.,I thought the extension was easy to use.,I think that I would need technical support to use Tab Time.,I found the various functions were well integrated.,I thought there was too much inconsistency in this system.,I would imagine that most people would learn to use this quickly.,I found the extension very cumbersome to use.,I felt very confident using the extension.,I needed to learn a lot of things before I could get going.,Rate the accuracy of real-time time tracking (,Rate the clarity of dashboard charts & analytics,Rate the effectiveness of Focus Mode & blocking,How reassuring is knowing 100% of data stays locally on your PC?,Did Tab Time increase your awareness of time spent online?,Did Focus Mode reduce your distraction-related interruptions during work/study?,"What did you like most about Tab Time, and what could be improved in future versions?"
2026/05/26 18:07:01,Remote Knowledge Worker,Google Chrome,4 – 6 Hours,4,2,5,1,5,1,5,1,5,1,5,4,5,5,Strongly Agree,Significant Reduction,The donut chart in the popup gave me an instant reality check on how my quick 5-minute Twitter breaks were quietly adding up to over 40 minutes. It completely changed how I pace my study sessions.
2026/05/26 16:12:45,Postgraduate Researcher,Google Chrome,4 – 6 Hours,4,1,4,1,4,2,4,1,5,1,5,5,4,5,Strongly Agree,Moderate Reduction,Seeing the exact time spent per academic journal on ScienceDirect helped me organize my literature review. Extremely clean UI and zero lag.
2026/05/26 12:51:02,Remote Knowledge Worker,Google Chrome,< 4 Hours,4,1,5,1,5,2,5,1,5,1,5,5,5,5,Strongly Agree,Significant Reduction,"Knowing that every single byte of my browsing data stays right here on my laptop with no cloud server accounts gave me complete peace of mind. I refused to use RescueTime due to privacy, but Tab Time is fantastic."
2026/05/26 09:54:14,Remote Knowledge Worker,Google Chrome,6 – 8 Hours,4,2,5,1,5,2,5,1,4,1,5,4,4,4,Agree,Significant Reduction,Focus Mode holding page is polite but firm. It effectively interrupted my mindless tab-opening habit when studying for finals.
2026/05/26 10:29:24,Undergraduate Student,Microsoft Edge,6 – 8 Hours,5,1,5,1,5,1,5,1,5,1,5,5,5,5,Strongly Agree,Significant Reduction,"Would love to see custom sub-page categorization (e.g., separating YouTube educational tutorials from entertainment channels) in a future update."
2026/05/26 18:31:25,Remote Knowledge Worker,Google Chrome,4 – 6 Hours,4,2,5,1,4,2,5,1,5,1,5,5,4,5,Strongly Agree,Significant Reduction,"Super lightweight! Even with 25+ tabs open across two monitors, there was no noticeable browser stutter or memory drain."
2026/05/26 15:05:48,Undergraduate Student,Google Chrome,6 – 8 Hours,5,1,4,1,4,1,5,1,5,1,5,4,4,5,Agree,Moderate Reduction,The daily productivity score became a personal game for me. I tried to keep my score above 80% every workday.
2026/05/27 20:17:49,Postgraduate Researcher,Google Chrome,6 – 8 Hours,4,1,5,2,4,1,4,1,5,1,5,4,4,5,Strongly Agree,Significant Reduction,I appreciate that there are no annoying pop-up notifications during deep work sessions. The non-intrusive design is refreshing.
2026/05/27 16:49:59,Postgraduate Researcher,Google Chrome,4 – 6 Hours,5,1,5,1,5,2,5,1,4,1,5,4,5,5,Strongly Agree,Significant Reduction,A dark mode toggle for the full dashboard would make it even better for late-night research sessions.
2026/05/27 10:42:30,Academic / Faculty,Google Chrome,6 – 8 Hours,4,1,4,2,4,1,5,2,4,1,4,5,4,5,Strongly Agree,Significant Reduction,The 60-second idle detection is very accurate. It didn't inflate my hours when I stepped away to grab a coffee.
